O43447,O43741,O60333,O60496,O75603,P04792,P07949,P10606,P20339,P40763,P46108,Q13077,Q5VZ18,Q7L591,Q86UW9,Q8NEU8,Q8TB24,Q8TEW6,Q92529,Q92625,Q99704,Q99932,Q9HB20,Q9NQ94,Q9P104,Q9UKG1,Q9Y3C5,TB8.4
LpqN,LpqR,O75400,O95466,P06126,P10412,P59046,Q03463,Q15154,Q16543,Q96QH2,Q9BYV2,Q9H257,Q9NXV2,Q9UIA0
ESAT6,O43586,P16403,P62820,Q14005,Q14847,Q15287,Q96LT7,Q9NP66,Rv1827,Rv3033
O76024,P04440,P08631,P49639,Q02930,Q15654,Q63HR2,Q8NEC5,Q93062,Q99750
EspR,P09086,P12956,P14598,P41220,P51828,Q01130,Q15080
P07333,P07948,P15498,P22681,P43405,Q06187
Apa,P50552,Q15233,Q9P2A4,Q9UI08,Q9Y616
O60488,PE25,Q07812,Q16548,Q9UL01
Q7Z5R6,Q9C005,Rv1074c,Rv1075C
P11161,P51610,Rv3668c
