Q7L591,P40763,O60496,P46108,O43741,Q13077,Q92529,Q9NQ94,O43447,O60333,O75603,P04792,P10606,Q5VZ18,Q86UW9,Q8NEU8,Q8TEW6,Q92625,Q99704,Q99932,Q9HB20,Q9P104,Q9UKG1,Q9Y3C5,P07949
Q02930,Q99750,P49639,Q15654,Q93062,Q8NEC5,P08631,P04440,O76024,Q63HR2
O43586,P16403,Q9NP66,O95466,O75400,Q03463,LpqN
Q15287,Q9UIA0,Q15080,Q15154,P14598,Q01130,Rv1827
P59046,Q16543,Q9H257,Q9BYV2,Q96QH2,P10412,LpqR
P22681,P43405,Q06187,P07333,P07948,P15498
Q9Y616,Q15233,Q9P2A4,P50552,Q9UI08,Apa
P12956,P41220,Q8TB24,P51828,P09086,EspR
Q7Z5R6,Q9C005,Rv1075C,Rv1074c
Q14005,Q14847,Rv3033
Q96LT7,P62820,ESAT6
P11161,P51610,Rv3668c
Q16548,Q07812,PE25
P20339,TB8.4
P06126,Q9NXV2
Q9UL01,O60488
